8カ月,1405,1405,2042,数詞,時間,*,*,*,*,8カ月,ハッカゲツ,ハッカゲツ
8月,1405,1405,2021,数詞,時間,*,*,*,*,8月,ハチガツ,ハチガツ
8日,1405,1405,2157,数詞,時間,*,*,*,*,8日,ヨウカ,ヨーカ
８日,1405,1405,2334,数詞,時間,*,*,*,*,８日,ヨウカ,ヨーカ
９８年,1405,1405,7447,数詞,時間,*,*,*,*,*
一か月,1405,1405,3573,数詞,時間,*,*,*,*,一か月,イッカゲツ,イッカゲツ
一年間,1405,1405,3573,数詞,時間,*,*,*,*,一年間,イチネンカン,イチネンカン
五年,1405,1405,4031,数詞,時間,*,*,*,*,五年,ゴネン,ゴネン
四年,1405,1405,3600,数詞,時間,*,*,*,*,四年,ヨネン,ヨネン
四年弱,1405,1405,3573,数詞,時間,*,*,*,*,四年弱,ヨネンジャク,ヨネンジャク
十年,1405,1405,5872,数詞,時間,*,*,*,*,十年,ジュウネン,ジューネン
数ヶ月,1405,1405,5680,数詞,時間,*,*,*,*,数ヶ月,スウカゲツ,スーカゲツ
数年,1405,1405,5906,数詞,時間,*,*,*,*,数年,スウネン,スーネン
数年間,1405,1405,5906,数詞,時間,*,*,*,*,数年間,スウネンカン,スーネンカン
同年７月,1405,1405,5906,数詞,時間,*,*,*,*,同年７月,ドウネンシチガツ,ドーネンシチガツ
二年,1405,1405,3573,数詞,時間,*,*,*,*,二年,ニネン,ニネン
平成12年度,1405,1405,5906,数詞,時間,*,*,*,*,平成12年度,ヘイセイジュウニネンド,ヘイセイジューニネンド
10月,1408,1408,1939,数詞,時間,一般,*,*,*,10月,ジュウガツ,ジューガツ
7日,1408,1408,2366,数詞,時間,一般,*,*,*,7日,ナノカ,ナノカ
３分後,1409,1409,2042,数詞,時間,副詞可能,*,*,*,３分後,サンプンゴ,サンプンゴ
４分後,1409,1409,2042,数詞,時間,副詞可能,*,*,*,４分後,ヨンフンゴ,ヨンフンゴ
6年後,1409,1409,2041,数詞,時間,副詞可能,*,*,*,6年後,ロクネンゴ,ロクネンゴ
７０年前,1000,1000,1000,数詞,時間,副詞可能,*,*,*,７０年前,ナナジュウネンマエ,ナナジューネンマエ
１９号,1411,1411,1479,数詞,順序,*,*,*,*,１９号,ジュウキュウゴウ,ジュ－キュ－ゴ－
1番,1411,1411,1918,数詞,順序,*,*,*,*,1番,イチバン,イチバン
2つめ,1411,1411,1479,数詞,順序,*,*,*,*,2つめ,フタツメ,フタツメ
3つめ,1411,1411,1479,数詞,順序,*,*,*,*,3つめ,ミッツメ,ミッツメ
3代目,1411,1411,1479,数詞,順序,*,*,*,*,3代目,サンダイメ,サンダイメ
4つ,1411,1411,1073,数詞,順序,*,*,*,*,4つ,ヨッツ,ヨッツ
92条,1411,1411,1479,数詞,順序,*,*,*,*,92条,キュウジュウニジョウ,キュージューニジョー
93条,1411,1411,1479,数詞,順序,*,*,*,*,93条,キュウジュウサンジョウ,キュージューサンジョー
94条,1411,1411,1479,数詞,順序,*,*,*,*,94条,キュウジュウヨンジョウ,キュージューヨンジョー
ナンバー2,1411,1411,2784,数詞,順序,*,*,*,*,ナンバー2,ナンバーツー,ナンバーツー
第三,1000,1000,1000,数詞,順序,*,*,*,*,第三,ダイサン,ダイサン
第二,1000,1000,1000,数詞,順序,*,*,*,*,第二,ダイニ,ダイニ
(1),1403,1403,6700,数詞,数,*,*,*,*,*
(2),1403,1403,6700,数詞,数,*,*,*,*,*
(3),1403,1403,6700,数詞,数,*,*,*,*,*
0.015,1403,1403,6876,数詞,数,*,*,*,*,*
-0.015,1403,1403,6700,数詞,数,*,*,*,*,*
0.2,1403,1403,6876,数詞,数,*,*,*,*,*
0.3,1403,1403,6876,数詞,数,*,*,*,*,*
0.5,1403,1403,6876,数詞,数,*,*,*,*,*
１．５,1403,1403,1593,数詞,数,*,*,*,*,１．５,イッテンゴ,イッテンゴ
1.7,1403,1403,6876,数詞,数,*,*,*,*,*
１０,1403,1403,2686,数詞,数,*,*,*,*,１０,ジュウ,ジュー
１００．５,1403,1403,1594,数詞,数,*,*,*,*,１００．５,ヒャクテンゴ,ヒャクテンゴ
１０００万,1403,1403,1594,数詞,数,*,*,*,*,１０００万,イッセンマン,イッセンマン
１１１．７,1403,1403,1594,数詞,数,*,*,*,*,１１１．７,ヒャクジュウイッテンナナ,ヒャクジューイッテンナナ
